REGION_COUNTRY;1970_URBAN;1975_URBAN;1980_URBAN;1985_URBAN;1990_URBAN;1994_URBAN;2000_URBAN;2002_URBAN;2004_URBAN;2005_URBAN;2008_URBAN;1970_RURAL;1975_RURAL;1980_RURAL;1985_RURAL;1990_RURAL;1994_RURAL;2000_RURAL;2002_RURAL;2004_RURAL;2005_RURAL;2008_RURAL;1970_TOTAL;1975_TOTAL;1980_TOTAL;1985_TOTAL;1990_TOTAL;1994_TOTAL;2000_TOTAL;2002_TOTAL;2004_TOTAL;2005_TOTAL;2008_TOTAL
AFRICA;66;68;69;77;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Algeria;84;100;NA;85;NA;NA;88;92;88;88;85;NA;61;NA;55;NA;NA;94;80;80;81;79;NA;77;NA;68;NA;81;94;86.852;85;85;83
Angola;NA;NA;85;87;73;69;34;70;75;54;60;NA;NA;10;15;20;15;40;40;40;39;38;NA;NA;26;33;34.84;39;38;50.02;53;47;50
Benin;83;100;26;80;73;41;74;79;78;82;84;20;20;15;34;43;53;55;60;57;65;69;29;34;18;50;54.4;65;63;68.037;67;72;75
Botswana;71;95;NA;84;100;NA;100;100;100;99;99;26;39;NA;46;88;NA;NA;90;90;90;90;29;45;NA;53;91;90;NA;95.02;95;95;95
Burkina Faso;35;50;27;43;NA;NA;84;82;94;91;95;10;23;31;69;70;NA;NA;44;54;65;72;12;25;31;67;NA;65;NA;51;61;70;76
Burundi;77;NA;90;98;92;92;96;90;92;85;83;NA;NA;20;21;43;49;NA;78;77;71;71;NA;NA;23;25;45.45;71;NA;79.08;79;72;72
Cameroon;77;NA;NA;43;42;NA;82;84;86;90;92;21;NA;NA;24;45;NA;42;41;44;48;51;32;NA;NA;32;43.8;48;62;63;66;71;74
Cape Verde;NA;NA;100;83;NA;70;64;86;86;86;85;NA;NA;21;50;NA;34;89;73;73;82;82;NA;NA;25;52;NA;82;74;79.929;80;84;84
Central African Republic;NA;NA;NA;13;19;18;80;93;93;89;92;NA;NA;NA;NA;26;18;43;61;61;50;51;NA;NA;NA;NA;22.71;50;60;75;75;65;67
Chad;47;43;NA;NA;NA;48;31;40;41;66;67;24;23;NA;NA;NA;17;26;32;43;43;44;27;26;NA;NA;NA;43;27;33.904;42;49;50
Comoros;NA;NA;NA;NA;NA;NA;98;90;92;91;91;NA;NA;NA;NA;NA;NA;95;96;82;96;97;NA;NA;NA;NA;NA;96;96;94.008;86;95;95
Congo;63;81;42;NA;NA;NA;71;72;84;95;95;6;9;7;NA;NA;NA;17;17;27;34;34;27;38;20;NA;NA;34;51;45.71;58;71;71
Congo, Democratic Rep.;33;38;NA;52;68;37;89;83;82;82;80;4;12;NA;21;24;23;26;29;29;28;28;11;19;NA;32;36.32;28;45;46;46;45;46
Cote DIvoire;98;NA;NA;NA;57;59;90;98;97;92;93;29;NA;NA;NA;80;81;65;74;74;67;68;44;NA;NA;NA;70.8;67;77;84.464;84;79;80
Djibouti;NA;NA;50;50;NA;77;100;82;76;95;98;NA;NA;20;20;NA;100;100;67;59;55;52;NA;NA;43;45;NA;55;100;80;73;89;92
Egypt;94;NA;88;NA;95;82;96;100;99;100;100;93;NA;64;NA;86;50;94;97;97;96;98;93;NA;84;NA;89.96;96;95;98.263;98;98;99
Equatorial Guinea;NA;NA;47;NA;65;88;45;45;45;45;NA;NA;NA;NA;NA;18;100;42;42;42;42;NA;NA;NA;NA;NA;31.63;42;43;44;43;43;NA
Eritrea;NA;NA;NA;NA;NA;NA;63;72;74;74;74;NA;NA;NA;NA;NA;NA;42;54;57;57;57;NA;NA;NA;NA;NA;57;46;57.366;60;60;61
Ethiopia;61;58;NA;69;NA;NA;77;81;81;95;98;NA;1;NA;9;NA;NA;13;11;11;24;26;6;8;NA;16;NA;24;24;22;22;35;38
Gabon;NA;NA;NA;NA;NA;NA;73;95;95;95;95;NA;NA;NA;NA;NA;NA;55;47;47;43;41;NA;NA;NA;NA;NA;43;70;87;88;86;87
Gambia;97;NA;85;97;100;NA;80;95;95;94;96;3;NA;NA;50;48;NA;53;77;77;83;86;12;NA;NA;59;59.96;83;62;81.716;82;89;92
Ghana;86;86;72;93;63;70;87;93;88;89;90;NA;14;33;39;NA;49;49;68;64;68;74;35;35;45;56;21.42;68;64;78.975;75;78;82
Guinea;68;69;69;41;100;61;72;78;78;89;89;NA;NA;2;12;37;62;36;38;35;57;61;NA;14;15;18;53.38;57;48;51.04;50;68;71
Guinea-Bissau;NA;NA;18;17;NA;38;29;79;79;82;83;NA;NA;8;22;NA;57;55;49;49;48;51;NA;NA;10;21;NA;48;49;59;59;58;60
Kenya;100;100;85;NA;NA;67;87;89;83;85;83;2;4;15;NA;NA;49;31;46;46;48;52;15;17;26;NA;NA;48;49;62;61;56;59
Lesotho;100;65;37;65;NA;14;98;88;92;96;97;1;14;11;30;NA;64;88;74;76;79;81;3;17;15;36;NA;79;91;76.464;79;83;85
Liberia;100;NA;NA;100;NA;58;NA;72;72;80;79;6;NA;NA;23;NA;8;NA;52;52;48;51;15;NA;NA;53;NA;48;NA;62;61;67;68
Libya;100;100;100;NA;NA;NA;72;72;NA;NA;NA;42;82;90;NA;NA;NA;68;68;NA;NA;NA;58;87;96;NA;NA;NA;72;72;NA;NA;NA
Madagascar;67;76;80;81;NA;83;85;75;77;71;71;1;14;7;17;NA;10;31;34;35;27;29;11;25;21;31;NA;27;47;44.66;50;40;41
Malawi;NA;NA;77;97;NA;52;95;96;98;94;95;NA;NA;37;50;NA;44;44;62;68;70;77;NA;NA;41;56;NA;70;57;67.134;73;74;80
Mali;29;NA;37;46;41;36;74;76;78;77;81;NA;NA;NA;10;4;38;61;35;36;40;44;NA;NA;NA;16;12.88;40;65;48;50;51;56
Mauritania;98;NA;80;73;NA;84;34;63;59;49;52;10;NA;85;NA;NA;69;40;45;44;43;47;17;NA;84;NA;NA;43;37;56;53;45;49
Mauritius;100;100;100;100;100;95;100;100;100;100;100;29;22;98;100;100;100;100;100;100;NA;NA;61;60;99;100;100;NA;100;100;100;NA;NA
Morocco;92;NA;100;100;100;98;100;99;99;97;98;28;NA;NA;25;18;14;58;56;56;60;60;51;NA;NA;59;55.72;60;82;79.865;81;80;81
Mozambique;NA;NA;NA;38;NA;17;86;76;72;76;77;NA;NA;NA;9;NA;40;43;24;26;29;29;NA;NA;NA;15;NA;29;60;42;43;45;47
Namibia;NA;NA;NA;NA;90;87;100;98;98;99;99;NA;NA;NA;NA;37;42;67;72;81;82;88;NA;NA;NA;NA;51.84;82;77;80.034;87;88;92
Niger;37;36;41;35;98;46;70;80;80;89;96;19;26;32;49;45;55;56;36;36;37;39;20;27;33;47;55.6;37;59;46;46;45;48
Nigeria;NA;NA;NA;100;100;63;81;72;67;76;75;NA;NA;NA;20;22;26;39;49;31;40;42;NA;NA;NA;38;49.3;40;57;60;48;57;58
Reunion;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Rwanda;81;84;48;79;84;NA;60;92;92;80;77;66;68;55;48;67;NA;40;69;69;63;62;67;68;55;50;68.02;63;41;73;74;66;65
Sao Tome and Principe;NA;NA;NA;NA;NA;NA;NA;89;89;88;89;NA;NA;NA;45;NA;NA;NA;73;73;81;89;NA;NA;NA;45;NA;81;NA;79.016;79;85;89
Senegal;87;56;77;79;65;82;92;90;92;91;92;NA;NA;25;38;26;28;65;54;60;51;52;NA;NA;43;53;41.6;51;78;72;76;68;69
Seychelles;NA;NA;NA;NA;NA;NA;NA;100;100;94;100;NA;NA;NA;95;NA;NA;NA;75;75;NA;NA;NA;NA;NA;95;NA;NA;NA;87.425;88;NA;NA
Sierra Leone;75;NA;50;68;80;58;23;75;75;82;86;1;NA;2;7;20;21;31;46;46;33;26;12;NA;14;24;39.2;33;28;56.643;57;51;49
Somalia;17;77;NA;58;NA;NA;NA;32;32;58;67;14;22;NA;22;NA;NA;NA;27;27;11;9;15;38;NA;34;NA;11;NA;28.665;29;28;30
South Africa;NA;NA;NA;NA;NA;NA;92;98;99;99;99;NA;NA;NA;NA;NA;NA;80;73;73;75;78;NA;NA;NA;NA;NA;75;86;86.875;88;89;91
Sudan;61;96;100;NA;NA;66;86;78;78;68;64;13;43;31;NA;NA;45;69;64;64;53;52;19;50;51;NA;NA;53;75;69.054;70;59;57
Swaziland;NA;83;NA;100;NA;41;NA;87;87;90;92;NA;29;NA;7;NA;44;NA;42;54;56;61;NA;37;NA;31;NA;56;NA;52.44;62;64;69
Tanzania;61;88;NA;90;NA;NA;80;92;85;82;80;9;36;NA;42;NA;NA;42;62;49;45;45;13;39;NA;53;NA;45;54;73;62;54;54
Togo;100;49;70;100;NA;74;85;80;80;86;87;5;10;31;41;NA;58;38;36;36;40;41;17;16;38;54;NA;40;54;50.696;52;58;60
Tunisia;92;93;100;100;NA;100;NA;94;99;99;99;17;NA;17;31;NA;89;NA;60;82;84;84;49;NA;60;70;NA;84;NA;82;93;94;94
Uganda;88;100;NA;37;60;47;72;87;87;89;91;17;29;NA;18;30;32;46;52;56;60;64;22;35;NA;20;33.3;60;50;56.2;60;64;67
Zambia;70;86;NA;76;NA;64;88;90;90;87;87;22;16;NA;41;NA;27;48;36;40;42;46;37;42;NA;58;NA;42;64;54.954;58;58;60
Zimbabwe;NA;NA;NA;NA;95;NA;100;100;98;99;99;NA;NA;NA;32;80;NA;77;74;72;72;72;NA;NA;NA;NA;84.35;72;85;82.736;81;82;82
NORTH & CENTRAL;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
AMERICA & CARIBBEAN;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Anguilla;NA;NA;NA;NA;NA;NA;NA;NA;60;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;NA;NA
Antigua and Barbuda;NA;NA;NA;NA;NA;NA;NA;95;95;95;95;NA;NA;NA;NA;NA;NA;NA;89;89;NA;NA;NA;NA;NA;NA;NA;NA;NA;91.208;91;NA;NA
Aruba;NA;NA;NA;NA;NA;NA;NA;100;100;100;99;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;100;NA;100;100;100;100
Bahamas;100;100;100;100;98;NA;99;98;98;98;98;12;13;NA;NA;75;NA;86;86;86;NA;NA;65;65;100;100;89.72;NA;96;96.62;97;NA;NA
Barbados;95;100;99;100;100;NA;100;100;100;100;100;100;100;98;99;100;NA;100;100;100;100;100;98;100;99;99;100;100;100;100;100;100;100
Belize;NA;NA;99;100;95;96;83;100;100;97;99;NA;NA;36;26;53;82;69;82;82;94;100;NA;NA;68;64;74.42;94;76;90.64;91;95;99
British Virgin Islands;NA;NA;NA;NA;100;NA;NA;98;98;98;100;NA;NA;NA;NA;100;NA;NA;98;98;100;100;NA;NA;NA;NA;NA;100;NA;98;100;100;100
Canada;NA;NA;NA;NA;NA;NA;100;100;100;100;100;NA;NA;NA;NA;NA;NA;99;99;99;99;99;NA;NA;NA;NA;NA;99;100;99.794;100;100;100
Cayman Islands;NA;NA;100;98;NA;NA;NA;NA;NA;95;95;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Costa Rica;98;100;100;100;NA;85;98;100;100;100;100;59;56;82;83;NA;99;98;92;92;90;91;74;72;90;91;NA;90;98;96.72;97;96;97
Cuba;82;96;NA;NA;100;96;99;95;95;95;96;15;NA;NA;NA;91;85;82;78;78;83;89;56;NA;NA;NA;97.66;83;95;90.784;91;92;94
Dominican Republic;72;88;85;85;82;74;83;98;97;89;87;14;27;34;33;45;67;70;85;91;83;84;37;55;60;62;67.2;83;79;92.566;95;87;86
Dominica;NA;NA;NA;NA;NA;NA;100;100;100;96;NA;NA;NA;NA;NA;NA;NA;100;90;90;93;NA;NA;NA;NA;NA;NA;93;100;97.1;97;95;NA
El Salvador;71;89;67;68;87;78;88;91;94;94;94;20;28;40;40;15;37;61;68;70;73;76;40;53;50;51;46.68;73;74;82;84;86;87
Grenada;100;100;NA;NA;NA;NA;97;97;97;96;97;47;77;NA;NA;NA;NA;93;93;93;NA;NA;NA;NA;NA;NA;NA;NA;94;94.54;95;NA;NA
Guadeloupe;NA;NA;NA;NA;NA;NA;94;98;98;98;98;NA;NA;NA;NA;NA;NA;94;93;93;NA;NA;NA;NA;NA;NA;NA;NA;94;98;98;NA;NA
Guatemala;88;85;90;72;92;NA;97;99;99;97;98;12;14;18;14;43;NA;88;92;92;88;90;38;39;46;37;62.11;88;92;95.157;95;92;94
Haiti;NA;46;51;59;56;37;46;91;52;70;71;NA;3;8;30;35;23;45;59;56;53;55;NA;12;19;38;41.09;53;46;71;54;60;63
Honduras;99;99;93;56;85;81;97;99;95;95;95;10;13;40;45;48;53;82;82;81;74;77;34;41;59;49;64.28;74;90;89.548;87;94;86
Jamaica;100;100;55;99;NA;NA;81;98;98;98;98;48;79;46;93;NA;NA;59;87;88;88;89;62;86;51;96;NA;88;71;92.731;93;93;94
Martinique;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Mexico;71;70;90;99;94;91;94;97;100;96;96;29;49;40;47;NA;62;63;72;87;83;87;54;62;73;83;68.62;83;86;90.675;97;93;94
Montserrat;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;NA;NA;100;100;100;100;NA;NA;NA;NA;NA;100;NA;100;100;100;100
Netherlands Antilles;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Nicaragua;58;100;67;76;NA;81;95;93;90;97;98;16;14;6;11;NA;27;59;65;63;66;68;35;56;39;48;NA;66;79;80.708;79;83;85
Panama;100;100;100;100;NA;NA;88;99;99;97;97;41;54;62;64;NA;NA;86;79;79;83;83;69;77;81;82;NA;83;87;91;90;93;93
Puerto Rico;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
St Kitts;NA;NA;NA;NA;NA;NA;NA;99;99;100;100;NA;NA;NA;NA;NA;NA;NA;99;99;99;100;NA;NA;NA;NA;NA;99;NA;99;100;100;100
St Lucia;NA;NA;NA;NA;NA;NA;NA;98;98;99;97;NA;NA;NA;NA;NA;NA;NA;98;98;98;98;NA;NA;NA;NA;NA;98;NA;98;98;98;98
St Vincent;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;93;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Trinidad/Tobago;100;79;100;100;100;NA;NA;92;92;97;98;95;100;93;95;88;NA;NA;88;88;93;93;96;93;97;98;95.8;93;86;90.964;91;93;94
Turks/Caicos Islands;NA;NA;NA;87;NA;NA;NA;100;100;97;98;NA;NA;NA;68;NA;NA;NA;100;100;100;98;NA;NA;NA;77;NA;100;NA;100;100;98;98
United States of America;NA;NA;NA;NA;NA;NA;100;100;100;100;100;NA;NA;NA;NA;NA;NA;100;100;100;94;94;NA;NA;NA;NA;NA;94;100;100;100;99;99
United States Virgin Islands;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA;NA
SOUTH AMERICA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
Argentina;69;76;61;63;NA;NA;85;97;98;98;98;12;26;17;17;NA;NA;30;NA;80;80;80;56;66;54;56;NA;80;79;NA;96;96;97
Bolivia;92;81;69;75;76;78;93;95;95;95;96;2;6;10;13;30;22;55;68;68;63;67;33;34;36;43;53.46;63;79;84.713;85;84;86
Brazil;78;87;83;85;95;85;95;96;96;98;99;28;NA;51;56;61;31;54;58;57;81;84;55;NA;72;77;86.5;81;87;88.818;90;95;97
Chile;67;78;100;98;NA;94;99;100;100;99;99;13;28;17;29;NA;37;66;59;58;75;75;56;70;84;87;NA;75;94;95;95;96;96
Colombia;88;86;93;100;87;88;98;99;99;99;99;28;33;73;76;82;48;73;71;71;73;73;63;64;86;NA;85.5;73;91;91.972;93;92;92
Ecuador;76;67;79;81;63;82;81;92;97;96;97;7;8;20;31;44;55;51;77;89;86;88;34;36;50;57;54.64;86;71;86.045;94;92;94
